,PassengerId,Pclass,Name,Sex,Fare,Cabin,Embarked,Family
10,902,3,1,0,7.8958,0,3,0
22,914,1,2,1,31.6833,0,3,0
29,921,3,1,0,21.6792,0,1,2
33,925,3,2,1,23.45,0,3,3
36,928,3,3,1,8.05,0,3,0
39,931,3,1,0,56.4958,0,3,0
41,933,1,1,0,26.55,4,3,0
47,939,3,1,0,7.75,0,2,0
54,946,2,1,0,15.5792,0,1,0
58,950,3,1,0,16.1,0,3,1
65,957,2,2,1,21.0,0,3,0
76,968,3,1,0,8.05,0,3,0
83,975,3,1,0,7.8958,0,3,0
84,976,2,1,0,10.7083,0,2,0
85,977,3,1,0,14.4542,0,1,1
88,980,3,0,1,7.75,0,2,0
91,983,3,1,0,7.775,0,3,0
93,985,3,1,0,8.05,0,3,0
102,994,3,1,0,7.75,0,2,0
107,999,3,1,0,7.75,0,2,0
108,1000,3,1,0,8.7125,0,3,0
111,1003,3,3,1,7.7792,0,2,0
116,1008,3,1,0,6.4375,0,1,0
121,1013,3,1,0,7.75,0,2,1
124,1016,3,1,0,7.75,0,2,0
127,1019,3,3,1,23.25,0,2,2
132,1024,3,2,1,25.4667,0,3,4
133,1025,3,1,0,6.4375,0,1,1
146,1038,1,1,0,51.8625,5,3,0
148,1040,1,1,0,26.55,0,3,0
151,1043,3,1,0,7.8958,0,1,0
160,1052,3,3,1,7.7333,0,2,0
163,1055,3,1,0,7.0,0,3,0
168,1060,1,2,1,27.7208,0,1,0
170,1062,3,1,0,7.55,0,3,0
173,1065,3,1,0,7.2292,0,1,0
183,1075,3,1,0,7.75,0,2,0
188,1080,3,3,1,69.55,0,3,10
191,1083,1,1,0,26.0,0,3,0
199,1091,3,2,1,8.1125,0,3,0
200,1092,3,3,1,15.5,0,2,0
205,1097,1,1,0,25.7417,0,1,0
211,1103,3,1,0,7.05,0,3,0
216,1108,3,3,1,7.8792,0,2,0
219,1111,3,1,0,8.05,0,3,0
225,1117,3,2,1,15.2458,0,1,2
227,1119,3,3,1,7.75,0,2,0
233,1125,3,1,0,7.8792,0,2,0
243,1135,3,1,0,7.8875,0,3,0
244,1136,3,4,0,23.45,0,3,3
249,1141,3,2,1,14.4542,0,1,1
255,1147,3,1,0,7.55,0,3,0
256,1148,3,1,0,7.75,0,2,0
265,1157,3,1,0,7.8958,0,3,0
266,1158,1,1,0,0.0,0,3,0
267,1159,3,1,0,7.55,0,3,0
268,1160,3,3,1,8.05,0,3,0
271,1163,3,1,0,7.75,0,2,0
273,1165,3,3,1,15.5,0,2,1
274,1166,3,1,0,7.225,0,1,0
282,1174,3,3,1,7.75,0,2,0
286,1178,3,1,0,7.25,0,3,0
288,1180,3,1,0,7.2292,6,1,0
289,1181,3,1,0,8.05,0,3,0
290,1182,1,1,0,39.6,0,3,0
292,1184,3,1,0,7.2292,0,1,0
297,1189,3,1,0,21.6792,0,1,2
301,1193,2,1,0,15.0458,4,1,0
304,1196,3,3,1,7.75,0,2,0
312,1204,3,1,0,7.575,0,3,0
332,1224,3,1,0,7.225,0,1,0
339,1231,3,4,0,7.2292,0,1,0
342,1234,3,1,0,69.55,0,3,10
344,1236,3,4,0,14.5,0,3,2
357,1249,3,1,0,7.8792,0,3,0
358,1250,3,1,0,7.75,0,2,0
365,1257,3,2,1,69.55,0,3,10
366,1258,3,1,0,14.4583,0,1,1
380,1272,3,1,0,7.75,0,2,0
382,1274,3,2,1,14.5,0,3,0
384,1276,2,1,0,12.875,0,3,0
408,1300,3,3,1,7.7208,0,2,0
410,1302,3,3,1,7.75,0,2,0
413,1305,3,1,0,8.05,0,3,0
416,1308,3,1,0,8.05,0,3,0
417,1309,3,4,0,22.3583,0,1,2
